framenum , queue density , dynamic density
4751,0.224647,0.143044
4756,0.201872,0.127087
4761,0.177125,0.115484
4766,0.161125,0.0988406
4771,0.151669,0.0862781
4776,0.145903,0.0620313
4781,0.128647,0.0460375
4786,0.111897,0.0286281
4791,0.0940156,0.01535
4796,0.0848625,0.0190344
4801,0.0807031,0.00615312
4806,0.0811406,0.003875
4811,0.0812062,0.00504688
4816,0.0803125,0.0058375
4821,0.0786687,0.0114813
4826,0.0792188,0.007825
4831,0.0791437,0.005175
4836,0.0809156,0.0108094
4841,0.081275,0.00921875
4846,0.0811344,0.00857813
4851,0.0807438,0.007325
4856,0.0810531,0.00681875
4861,0.0809062,0.00863437
4866,0.0807469,0.00704688
4871,0.0808844,0.0061125
4876,0.0816531,0.00623438
4881,0.0814469,0.00633437
4886,0.0805969,0.00707188
4891,0.0806281,0.00678125
4896,0.0799125,0.00590313
4901,0.0848094,0.0124312
4906,0.0911562,0.0213687
4911,0.0893125,0.0198187
4916,0.083225,0.0132812
4921,0.0950187,0.0353625
4926,0.0971687,0.0399156
4931,0.122556,0.0750813
4936,0.127053,0.0910906
4941,0.127919,0.0975875
4946,0.144644,0.0955531
4951,0.134434,0.0870188
4956,0.124894,0.0758438
4961,0.115319,0.0690094
4966,0.114106,0.0482875
4971,0.122925,0.05405
4976,0.115541,0.07235
4981,0.109744,0.0795656
4986,0.111097,0.0791719
4991,0.111216,0.0756594
4996,0.112559,0.0711312
5001,0.113306,0.0666438
5006,0.117275,0.0583875
5011,0.114597,0.0559
5016,0.101016,0.0363062
5021,0.0891656,0.0197688
5026,0.0877781,0.0159969
5031,0.0825656,0.0107281
5036,0.0825,0.0120906
5041,0.0822031,0.01195
5046,0.0920437,0.0221875
5051,0.133378,0.0680625
5056,0.177794,0.130084
5061,0.208141,0.172534
5066,0.236569,0.192356
5071,0.259569,0.237791
5076,0.280953,0.273697
5081,0.291859,0.265825
5086,0.272425,0.230522
5091,0.242975,0.213053
5096,0.215103,0.212388
5101,0.191503,0.185531
5106,0.175503,0.141184
5111,0.150716,0.0981313
5116,0.123509,0.0599
5121,0.096875,0.0350688
5126,0.0779688,0.0110063
5131,0.0746969,0.0067875
5136,0.0722781,0.00758125
5141,0.0707531,0.00194688
5146,0.0711031,0.0012375
